"","date","company_name","city","county","number_active_cases","number_recovered_cases","total_number_of_cases","address","industry"
"4:289","2020-07-31","Wayne Farms"," Danville"," Yell",5,193,198,NA,NA
"4:290","2020-07-31","Tyson"," Van Buren"," Crawford",5,88,93,NA,NA
"4:291","2020-07-31","Simmons Foods"," Van Buren"," Crawford",5,45,50,NA,NA
"4:292","2020-07-31","Simmons Foods"," Ft Smith"," Sebastian",5,24,29,NA,NA
"4:293","2020-07-31","ConAgra"," Russellville"," Pope",26,101,127,NA,NA
"4:294","2020-07-31","Frito Lay"," Jonesboro"," Craighead",7,18,25,NA,NA
"4:295","2020-07-31","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,8,13,NA,NA
"4:296","2020-07-31","Pace Industries"," Harrison"," Boone",5,3,8,NA,NA
"4:297","2020-07-31","West Tree Services"," Little Rock"," Pulaski",5,1,6,NA,NA
"4:298","2020-08-03","Tyson"," Springdale"," Washington",25,321,346,"Berry St.",NA
"4:299","2020-08-03","OK Foods"," Ft Smith"," Sebastian",24,140,164,NA,NA
"4:300","2020-08-03","Tyson of Rogers"," Rogers"," Benton",20,249,269,"Elm St.",NA
"4:301","2020-08-03","Peco"," Batesville"," Independence",14,14,28,NA,NA
"4:302","2020-08-03","Tyson"," Rogers"," Benton",11,90,101,"Olrich St",NA
"4:303","2020-08-03","George's Poultry"," Springdale"," Washington",9,238,247,NA,NA
"4:304","2020-08-03","Tyson"," Clarksville"," Johnson",9,197,206,NA,NA
"4:305","2020-08-03","Simmons Foods"," Gentry"," Benton",9,61,70,NA,NA
"4:306","2020-08-03","Peco"," Pocahontas"," Randolph",9,33,42,NA,NA
"4:307","2020-08-03","Tyson"," Green Forest"," Carroll",8,64,72,NA,NA
"4:308","2020-08-03","Pilgrim's Pride"," De Queen"," Sevier",7,250,257,NA,NA
"4:309","2020-08-03","Tyson"," Dardanelle"," Yell",7,73,80,NA,NA
"4:310","2020-08-03","Tyson"," Russellville"," Pope",7,49,56,"Tyler Rd",NA
"4:311","2020-08-03","Wayne Farms"," Danville"," Yell",6,193,199,NA,NA
"4:312","2020-08-03","Tyson"," Nashville"," Howard",6,35,41,NA,NA
"4:313","2020-08-03","George's Poultry"," Batesville"," Independence",6,4,10,NA,NA
"4:314","2020-08-03","Simmons Foods"," Van Buren"," Crawford",5,47,52,NA,NA
"4:315","2020-08-03","ConAgra"," Russellville"," Pope",30,113,143,NA,NA
"4:316","2020-08-03","Frito Lay"," Jonesboro"," Craighead",7,23,30,NA,NA
"4:317","2020-08-03","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,9,15,NA,NA
"4:318","2020-08-03","Pace Industries"," Harrison"," Boone",5,4,9,NA,NA
"4:319","2020-08-03","West Tree Services"," Little Rock"," Pulaski",5,2,7,NA,NA
"4:320","2020-08-03","Kagome Foods"," Osceola"," Mississippi",5,2,7,NA,NA
"4:321","2020-08-07","OK Foods"," Ft Smith"," Sebastian",28,172,200,NA,NA
"4:322","2020-08-07","Peco"," Batesville"," Independence",22,26,48,NA,NA
"4:323","2020-08-07","Tyson"," Springdale"," Washington",14,331,345,"Berry St.",NA
"4:324","2020-08-07","Tyson"," Van Buren"," Crawford",13,97,110,NA,NA
"4:325","2020-08-07","Peco"," Pocahontas"," Randolph",10,40,50,NA,NA
"4:326","2020-08-07","Simmons Foods"," Siloam Springs"," Benton",10,39,49,NA,NA
"4:327","2020-08-07","Tyson"," Hope"," Hempstead",7,15,22,"275 Hempstead 278",NA
"4:328","2020-08-07","Custom Craft Poultry"," Batesville"," Independence",7,2,9,NA,NA
"4:329","2020-08-07","Tyson"," Clarksville"," Johnson",6,207,213,NA,NA
"4:330","2020-08-07","Tyson"," Dardanelle"," Yell",6,78,84,NA,NA
"4:331","2020-08-07","Simmons Foods"," Gentry"," Benton",6,70,76,NA,NA
"4:332","2020-08-07","Simmons Foods"," Van Buren"," Crawford",6,48,54,NA,NA
"4:333","2020-08-07","George's Poultry"," Springdale"," Washington",5,253,258,NA,NA
"4:334","2020-08-07","Tyson"," Rogers"," Benton",5,100,105,"Olrich St",NA
"4:335","2020-08-07","Tyson"," Springdale"," Washington",5,59,64,"Randall Rd.",NA
"4:336","2020-08-07","Simmons Foods"," Ft Smith"," Sebastian",5,26,31,NA,NA
"4:337","2020-08-07","ConAgra"," Russellville"," Pope",24,132,156,NA,NA
"4:338","2020-08-07","Radius Aerospace"," Hot Springs"," Garland",10,0,10,NA,NA
"4:339","2020-08-07","Kagome Foods"," Osceola"," Mississippi",8,6,14,NA,NA
"4:340","2020-08-10","OK Foods"," Ft Smith"," Sebastian",24,177,201,NA,NA
"4:341","2020-08-10","Peco"," Batesville"," Independence",22,32,54,NA,NA
"4:342","2020-08-10","Tyson"," Springdale"," Washington",14,332,346,"Berry St.",NA
"4:343","2020-08-10","Tyson"," Van Buren"," Crawford",12,100,112,NA,NA
"4:344","2020-08-10","Simmons Foods"," Siloam Springs"," Benton",12,42,54,NA,NA
"4:345","2020-08-10","Peco"," Pocahontas"," Randolph",10,40,50,NA,NA
"4:346","2020-08-10","Tyson"," Hope"," Hempstead",8,17,25,"275 Hempstead 278",NA
"4:347","2020-08-10","Tyson"," Clarksville"," Johnson",6,208,214,NA,NA
"4:348","2020-08-10","Tyson"," Dardanelle"," Yell",6,79,85,NA,NA
"4:349","2020-08-10","Simmons Foods"," Van Buren"," Crawford",6,48,54,NA,NA
"4:350","2020-08-10","George's Poultry"," Batesville"," Independence",6,8,14,NA,NA
"4:351","2020-08-10","Simmons Foods"," Gentry"," Benton",5,73,78,NA,NA
"4:352","2020-08-10","ConAgra"," Russellville"," Pope",19,144,163,NA,NA
"4:353","2020-08-10","Wilson Brothers Lumber Co"," Rison"," Cleveland",15,0,15,NA,NA
"4:354","2020-08-10","Radius Aerospace"," Hot Springs"," Garland",10,0,10,NA,NA
"4:355","2020-08-10","Kagome Foods"," Osceola"," Mississippi",7,9,16,NA,NA
"4:356","2020-08-10","JB Hunt Transport Services"," Lowell"," Benton",5,23,28,NA,NA
"4:357","2020-08-13","Peco"," Batesville"," Independence",24,51,75,NA,NA
"4:358","2020-08-13","OK Foods"," Ft Smith"," Sebastian",19,187,206,NA,NA
"4:359","2020-08-13","Tyson"," Springdale"," Washington",12,334,346,"Berry St.",NA
"4:360","2020-08-13","Simmons Foods"," Siloam Springs"," Benton",9,59,68,NA,NA
"4:361","2020-08-13","Tyson"," Hope"," Hempstead",9,23,32,"275 Hempstead 278",NA
"4:362","2020-08-13","Tyson"," Van Buren"," Crawford",8,108,116,NA,NA
"4:363","2020-08-13","Tyson"," Clarksville"," Johnson",6,207,213,NA,NA
"4:364","2020-08-13","Simmons Foods"," Gentry"," Benton",6,76,82,NA,NA
"4:365","2020-08-13","Twin Rivers Foods"," Ft Smith"," Sebastian",6,10,16,NA,NA
"4:366","2020-08-13","Pilgrim's Pride"," De Queen"," Sevier",5,254,259,NA,NA
"4:367","2020-08-13","George's Poultry"," Batesville"," Independence",5,14,19,NA,NA
"4:368","2020-08-13","ConAgra"," Russellville"," Pope",11,164,175,NA,NA
"4:369","2020-08-13","Wilson Brothers Lumber Co"," Rison"," Cleveland",11,4,15,NA,NA
"4:370","2020-08-13","Frito Lay"," Jonesboro"," Craighead",8,30,38,NA,NA
"4:371","2020-08-13","Kagome Foods"," Osceola"," Mississippi",5,14,19,NA,NA
"4:372","2020-08-13","Fulton County Road Department",NA,NA,5,0,5,NA,NA
"4:373","2020-08-17","Wilson Brothers Lumber Co"," Rison"," Cleveland",10,6,16,NA,NA
"4:374","2020-08-17","ConAgra"," Russellville"," Pope",6,172,178,NA,NA
"4:375","2020-08-17","Frito Lay"," Jonesboro"," Craighead",6,34,40,NA,NA
"4:376","2020-08-17","Kagome Foods"," Osceola"," Mississippi",5,14,19,NA,NA
"4:377","2020-08-17","Peco"," Batesville"," Independence",19,62,81,NA,NA
"4:378","2020-08-17","OK Foods"," Ft Smith"," Sebastian",17,193,210,NA,NA
"4:379","2020-08-17","Tyson"," Springdale"," Washington",11,336,347,"Berry St.",NA
"4:380","2020-08-17","Tyson"," Van Buren"," Crawford",8,111,119,NA,NA
"4:381","2020-08-17","Simmons Foods"," Siloam Springs"," Benton",7,67,74,NA,NA
"4:382","2020-08-17","Simmons Foods"," Gentry"," Benton",6,78,84,NA,NA
"4:383","2020-08-17","Tyson"," Hope"," Hempstead",6,26,32,"275 Hempstead 278",NA
"4:384","2020-08-17","Tyson"," Clarksville"," Johnson",5,213,218,NA,NA
"4:385","2020-08-17","Tyson"," Pine Bluff"," Jefferson",5,32,37,NA,NA
"4:386","2020-08-17","Twin Rivers Foods"," Ft Smith"," Sebastian",5,11,16,NA,NA
"4:387","2020-08-24","Wilson Brothers Lumber Co"," Rison"," Cleveland",5,10,15,NA,NA
"4:388","2020-08-24","Peco"," Batesville"," Independence",30,109,139,NA,NA
"4:389","2020-08-24","Tyson"," Van Buren"," Crawford",16,115,131,NA,NA
"4:390","2020-08-24","Peco"," Pocahontas"," Randolph",11,49,60,NA,NA
"4:391","2020-08-24","Tyson"," Green Forest"," Carroll",5,79,84,NA,NA
"4:392","2020-08-27","Triumph Airborne Structures"," Hot Springs"," Garland",10,0,10,NA,NA
"4:393","2020-08-27","Global Food Group"," Clinton"," Van Buren",7,1,8,NA,NA
"4:394","2020-08-27","JW Aluminum Co."," Russellville"," Pope",6,0,6,NA,NA
"4:395","2020-08-27","Wilson Brothers Lumber Co"," Rison"," Cleveland",5,10,15,NA,NA
"4:396","2020-08-27","Peco"," Batesville"," Independence",25,118,143,NA,NA
"4:397","2020-08-27","Tyson"," Van Buren"," Crawford",24,128,152,NA,NA
"4:398","2020-08-27","OK Foods"," Ft Smith"," Sebastian",11,223,234,NA,NA
"4:399","2020-08-27","Peco"," Pocahontas"," Randolph",7,54,61,NA,NA
"4:400","2020-08-31","Triumph Airborne Structures"," Hot Springs"," Garland",13,2,15,NA,NA
"4:401","2020-08-31","JW Aluminum Co."," Russellville"," Pope",7,0,7,NA,NA
"4:402","2020-08-31","Global Food Group"," Clinton"," Van Buren",6,2,8,NA,NA
"4:403","2020-08-31","Tyson"," Van Buren"," Crawford",51,149,200,NA,NA
"4:404","2020-08-31","Peco"," Batesville"," Independence",11,136,147,NA,NA
"4:405","2020-08-31","OK Foods"," Ft Smith"," Sebastian",8,226,234,NA,NA
"4:406","2020-08-31","Peco"," Pocahontas"," Randolph",5,56,61,NA,NA
"4:407","2020-09-03","Tyson"," Van Buren"," Crawford",31,175,206,NA,NA
"4:408","2020-09-03","Peco"," Batesville"," Independence",5,146,151,NA,NA
"4:409","2020-09-03","Peco"," Pocahontas"," Randolph",5,59,64,NA,NA
"4:410","2020-09-03","Triumph Airborne Structures in Hot Springs"," AR",NA,11,8,19,NA,NA
"4:411","2020-09-03","JW Aluminum Co."," Russellville"," Pope",5,3,8,NA,NA
"4:412","2020-09-07","Tyson"," Van Buren"," Crawford",24,185,209,NA,NA
"4:413","2020-09-07","George's Poultry"," Springdale"," Washington",5,275,280,NA,NA
"4:414","2020-09-07","Tyson"," Green Forest"," Carroll",5,90,95,NA,NA
"4:415","2020-09-07","Peco"," Pocahontas"," Randolph",5,58,63,NA,NA
"4:416","2020-09-07","Triumph Airborne Structures"," Hot Springs"," Garland",9,10,19,NA,NA
"4:417","2020-09-07","Big River Steel"," Osceola"," Mississippi",8,8,16,NA,NA
"4:418","2020-09-07","Textbook Brokers"," Jonesboro"," Craighead",8,1,9,NA,NA
"4:419","2020-09-07","MAHLE Engine Components"," Russellville"," Pope",7,1,8,NA,NA
"4:420","2020-09-09","Tyson"," Van Buren"," Crawford",17,195,212,NA,NA
"4:421","2020-09-09","George's Poultry"," Springdale"," Washington",8,274,282,NA,NA
"4:422","2020-09-09","Tyson"," Green Forest"," Carroll",5,93,98,NA,NA
"4:423","2020-09-09","Peco"," Pocahontas"," Randolph",5,57,62,NA,NA
"4:424","2020-09-09","Triumph Airborne Structures"," Hot Springs"," Garland",8,12,20,NA,NA
"4:425","2020-09-09","MAHLE Engine Components"," Russellville"," Pope",6,5,11,NA,NA
"4:426","2020-09-09","Textbook Brokers"," Jonesboro"," Craighead",6,4,10,NA,NA
"4:427","2020-09-09","Lennox Industries"," Stuttgart"," Arkansas",5,21,26,NA,NA
"4:428","2020-09-09","Big River Steel"," Osceola"," Mississippi",5,11,16,NA,NA
"4:429","2020-09-14","George's Poultry"," Springdale"," Washington",10,277,287,NA,NA
"4:430","2020-09-14","Tyson"," Van Buren"," Crawford",7,207,214,NA,NA
"4:431","2020-09-14","Peco"," Pocahontas"," Randolph",6,59,65,NA,NA
"4:432","2020-09-14","Cargill Poultry"," Springdale"," Washington",5,219,224,NA,NA
"4:433","2020-09-14","Textbook Brokers"," Jonesboro"," Craighead",6,5,11,NA,NA
"4:434","2020-09-14","Lennox Industries"," Stuttgart"," Arkansas",5,22,27,NA,NA
"4:435","2020-09-14","Triumph Airborne Structures"," Hot Springs"," Garland",5,15,20,NA,NA
"5:1","2020-09-17","George's Poultry"," Springdale"," Washington",12,278,290,NA,"Manufacturing"
"5:2","2020-09-17","George's Poultry"," Batesville"," Independence",7,35,42,NA,"Manufacturing"
"5:3","2020-09-17","Tyson"," Van Buren"," Crawford",6,209,215,NA,"Manufacturing"
"5:4","2020-09-17","Tyson"," Springdale"," Washington",5,360,365,"Berry St.","Manufacturing"
"5:5","2020-09-17","Peco"," Pocahontas"," Randolph",5,59,64,NA,"Manufacturing"
"5:6","2020-09-24","Tyson"," Pine Bluff"," Jefferson",8,49,57,NA,"Manufacturing"
"5:7","2020-09-24","Tyson"," Van Buren"," Crawford",5,213,218,NA,"Manufacturing"
"5:8","2020-09-24","Tyson"," Green Forest"," Carroll",5,98,103,NA,"Manufacturing"
"5:9","2020-09-24","Peco"," Pocahontas"," Randolph",5,61,66,NA,"Manufacturing"
"5:10","2020-09-24","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,38,43,NA,"Manufacturing"
"5:11","2020-09-24","Lennox Industries"," Stuttgart"," Arkansas",5,29,34,NA,"Manufacturing"
"5:12","2020-09-28","Tyson"," Pine Bluff"," Jefferson",6,53,59,NA,"Manufacturing"
"5:13","2020-09-28","Lennox Industries"," Stuttgart"," Arkansas",6,31,37,NA,"Manufacturing"
"5:14","2020-09-28","Pine Bluff Fire and Emergency"," Pine Bluff"," Jefferson",6,3,9,NA,"Public Administration"
"5:15","2020-10-01","Dooley Agri"," Forestry"," Fishing and Hunting, Colt, St. Francis",26,0,26,NA,"Agriculture"
"5:16","2020-10-01","Pine Bluff Fire and Emergency"," Pine Bluff"," Jefferson",7,3,10,NA,"Public Administration"
"5:17","2020-10-01","Tyson"," Berryville"," Carroll",6,34,40,NA,"Manufacturing"
"5:18","2020-10-01","Tyson"," Pine Bluff"," Jefferson",6,55,61,NA,"Manufacturing"
"5:19","2020-10-01","Lennox Industries"," Stuttgart"," Arkansas",5,36,41,NA,"Manufacturing"
"5:20","2020-10-05","Dooley Agri"," Forestry"," Fishing and Hunting, Colt, St. Francis",26,0,26,NA,"Agriculture"
"5:21","2020-10-05","Tyson"," Berryville"," Carroll",7,35,42,NA,"Manufacturing"
"5:22","2020-10-05","Vacation Tour and Travel"," Entertainment"," and Recreation, Conway, Faulkner",7,1,8,NA,"Arts"
"5:23","2020-10-05","Tyson"," Pine Bluff"," Jefferson",6,56,62,NA,"Manufacturing"
"5:24","2020-10-05","ConAgra"," Russellville"," Pope",5,190,195,NA,"Manufacturing"
"5:25","2020-10-05","DENSO Manufacturing"," Osceola"," Mississippi",5,38,43,NA,"Manufacturing"
"5:26","2020-10-08","Vacation Tour and Travel"," Entertainment"," and Recreation, Conway, Faulkner",10,2,12,NA,"Arts"
"5:27","2020-10-08","OK Foods"," Fort Smith"," Sebastian",8,262,270,NA,"Manufacturing"
"5:28","2020-10-08","Tyson"," Green Forest"," Carroll",8,104,112,NA,"Manufacturing"
"5:29","2020-10-08","Dooley Agri"," Forestry"," Fishing and Hunting, Colt, St. Francis",6,20,26,NA,"Agriculture"
"5:30","2020-10-08","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,47,53,NA,"Manufacturing"
"5:31","2020-10-08","ConAgra"," Russellville"," Pope",6,190,196,NA,"Manufacturing"
"5:32","2020-10-08","Tyson"," Pine Bluff"," Jefferson",6,57,63,NA,"Manufacturing"
"5:33","2020-10-12","Vacation Tour and Travel"," Entertainment"," and Recreation, Conway, Faulkner",8,5,13,NA,"Arts"
"5:34","2020-10-12","Hytrol Conveyor Company"," Jonesboro"," Craighead",8,49,57,NA,"Manufacturing"
"5:35","2020-10-12","Tyson"," Pine Bluff"," Jefferson",7,58,65,NA,"Manufacturing"
"5:36","2020-10-12","OK Foods"," Fort Smith"," Sebastian",7,262,270,NA,"Manufacturing"
"5:37","2020-10-12","Land O'Frost"," Searcy"," White",6,6,12,NA,"Manufacturing"
"5:38","2020-10-12","ConAgra"," Russellville"," Pope",5,193,198,NA,"Manufacturing"
"5:39","2020-10-12","Tyson"," Green Forest"," Carroll",5,105,110,NA,"Manufacturing"
"5:40","2020-10-15","Arkansas Glass Container"," Jonesboro"," Craighead",8,3,11,NA,"Manufacturing"
"5:41","2020-10-15","Tyson"," Pine Bluff"," Jefferson",7,58,65,NA,"Manufacturing"
"5:42","2020-10-15","Land O'Frost"," Searcy"," White",7,7,14,NA,"Manufacturing"
"5:43","2020-10-15","Big Rock KangaRoof"," Little Rock"," Pulaski",7,0,7,NA,"Construction"
"5:44","2020-10-15","Tyson"," Green Forest"," Carroll",6,106,112,NA,"Manufacturing"
"5:45","2020-10-15","OK Foods"," Fort Smith"," Sebastian",6,263,269,NA,"Manufacturing"
"5:46","2020-10-15","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,53,58,NA,"Manufacturing"
"5:47","2020-10-15","Lennox Industries"," Stuttgart"," Arkansas",5,45,50,NA,"Manufacturing"
"5:48","2020-10-15","Riceland Foods"," Stuttgart"," Arkansas",5,26,31,NA,"Manufacturing"
"5:49","2020-10-19","Tyson"," Green Forest"," Carroll",9,117,126,NA,"Manufacturing"
"5:50","2020-10-19","Arkansas Glass Container"," Jonesboro"," Craighead",8,3,11,NA,"Manufacturing"
"5:51","2020-10-19","Tyson"," Pine Bluff"," Jefferson",7,58,65,NA,"Manufacturing"
"5:52","2020-10-19","Evergreen Packaging"," Pine Bluff"," Jefferson",6,77,83,NA,"Manufacturing"
"5:53","2020-10-22","Tyson"," Green Forest"," Carroll",9,125,134,NA,"Manufacturing"
"5:54","2020-10-22","Riceland Foods"," Stuggart"," Arkansas",7,29,36,NA,"Manufacturing"
"5:55","2020-10-22","Evergreen Packaging"," Pine Bluff"," Jefferson",6,79,85,NA,"Manufacturing"
"5:56","2020-10-22","Peco"," Pocahontas"," Randolph",6,66,72,NA,"Manufacturing"
"5:57","2020-10-22","Cooper Tire"," Texarkana"," Miller",5,24,29,NA,"Manufacturing"
"5:58","2020-10-26","Tyson"," Green Forest"," Carroll",10,131,141,NA,"Manufacturing"
"5:59","2020-10-26","Evergreen Packaging"," Pine Bluff"," Jefferson",8,79,87,NA,"Manufacturing"
"5:60","2020-10-26","Peco"," Pocahontas"," Randolph",7,67,74,NA,"Manufacturing"
"5:61","2020-10-26","Riceland Foods"," Stuttgart"," Arkansas",6,30,36,NA,"Manufacturing"
"5:62","2020-10-26","Greenbrier Rail"," Paragould"," Greene",6,15,21,NA,"Manufacturing"
"5:63","2020-10-26","Tyson"," Waldron"," Scott",6,4,10,"Plant St.","Manufacturing"
"5:64","2020-10-26","Lennox Industries"," Stuttgart"," Arkansas",5,54,59,NA,"Manufacturing"
"5:65","2020-10-26","Diamond Pet Foods"," Dumas"," Desha",5,10,15,NA,"Manufacturing"
"5:66","2020-10-29","Tyson"," Green Forest"," Carroll",10,137,147,NA,"Manufacturing"
"5:67","2020-10-29","Roach Manufacturing"," Trumann"," Poinsett",8,9,17,NA,"Manufacturing"
"5:68","2020-10-29","Peco"," Pocahontas"," Randolph",7,69,76,NA,"Manufacturing"
"5:69","2020-10-29","Tyson"," Waldron"," Scott",6,7,13,"Plant St.","Manufacturing"
"5:70","2020-10-29","Tyson"," Springdale"," Washington",5,377,382,"Berry St.","Manufacturing"
"5:71","2020-10-29","Evergreen Packaging"," Pine Bluff"," Jefferson",5,87,92,NA,"Manufacturing"
"5:72","2020-10-29","Tyson"," Pine Bluff"," Jefferson",5,65,70,NA,"Manufacturing"
"5:73","2020-10-29","Tyson"," Nashville"," Howard",5,64,69,NA,"Manufacturing"
"5:74","2020-10-29","Riceland Foods"," Stuttgart"," Arkansas",5,34,39,NA,"Manufacturing"
"5:75","2020-10-29","Diamond Pet Foods"," Dumas"," Desha",5,12,17,NA,"Manufacturing"
"5:76","2020-11-02","Tyson"," Pine Bluff"," Jefferson",9,65,74,NA,"Manufacturing"
"5:77","2020-11-02","Peco"," Pocahontas"," Randolph",7,71,78,NA,"Manufacturing"
"5:78","2020-11-02","Tyson"," Green Forest"," Carroll",6,141,147,NA,"Manufacturing"
"5:79","2020-11-02","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,64,70,NA,"Manufacturing"
"5:80","2020-11-02","Simmons Foods"," Ft Smith"," Sebastian",6,40,46,NA,"Manufacturing"
"5:81","2020-11-02","Tyson"," Russellville"," Pope",5,79,84,"Tyler Rd.","Manufacturing"
"5:82","2020-11-02","Frito Lay"," Jonesboro"," Craighead",5,60,65,NA,"Manufacturing"
"5:83","2020-11-02","Riceland Foods"," Stuttgart"," Arkansas",5,35,40,NA,"Manufacturing"
"5:84","2020-11-02","Roach Manufacturing"," Trumann"," Poinsett",5,12,17,NA,"Manufacturing"
"5:85","2020-11-05","Hytrol Conveyor Company"," Jonesboro"," Craighead",10,66,76,NA,"Manufacturing"
"5:86","2020-11-05","Pilgrim's Pride"," De Queen"," Sevier",7,268,275,NA,"Manufacturing"
"5:87","2020-11-05","Peco"," Pocahontas"," Randolph",7,72,79,NA,"Manufacturing"
"5:88","2020-11-05","Tyson"," Green Forest"," Carroll",6,144,150,NA,"Manufacturing"
"5:89","2020-11-05","Tyson"," Pine Bluff"," Jefferson",6,68,74,NA,"Manufacturing"
"5:90","2020-11-05","Frito Lay"," Jonesboro"," Craighead",6,61,67,NA,"Manufacturing"
"5:91","2020-11-05","Tyson"," Van Buren"," Crawford",5,225,230,NA,"Manufacturing"
"5:92","2020-11-05","Nestle"," Jonesboro"," Craighead",5,41,46,NA,"Manufacturing"
"5:93","2020-11-05","Simmons Foods"," Ft Smith"," Sebastian",5,41,46,NA,"Manufacturing"
"5:94","2020-11-05","Roach Manufacturing"," Trumann"," Poinsett",5,14,19,NA,"Manufacturing"
"5:95","2020-11-09","Hytrol Conveyor Company"," Jonesboro"," Craighead",9,68,77,NA,"Manufacturing"
"5:96","2020-11-09","Frito Lay"," Jonesboro"," Craighead",8,64,72,NA,"Manufacturing"
"5:97","2020-11-09","Tyson"," Pine Bluff"," Jefferson",7,73,80,NA,"Manufacturing"
"5:98","2020-11-09","Peco"," Pocahontas"," Randolph",5,74,79,NA,"Manufacturing"
"5:99","2020-11-09","ABB"," Ft Smith"," Sebastian",5,32,37,NA,"Manufacturing"
"5:100","2020-11-09","Tyson"," Waldron"," Scott",5,13,18,"Plant St.","Manufacturing"
"5:101","2020-11-12","Tyson"," Van Buren"," Crawford",8,228,236,NA,"Manufacturing"
"5:102","2020-11-12","Hytrol Conveyor Company"," Jonesboro"," Craighead",8,73,81,NA,"Manufacturing"
"5:103","2020-11-12","Pilgrim's Pride"," De Queen"," Sevier",7,276,283,NA,"Manufacturing"
"5:104","2020-11-12","Simmons Foods"," Siloam Springs"," Benton",7,92,99,NA,"Manufacturing"
"5:105","2020-11-12","Frito Lay"," Jonesboro"," Craighead",7,68,75,NA,"Manufacturing"
"5:106","2020-11-12","Tyson"," Pine Bluff"," Jefferson",6,75,81,NA,"Manufacturing"
"5:107","2020-11-12","Tyson"," Waldron"," Scott",6,14,20,"Plant St.","Manufacturing"
"5:108","2020-11-12","ABB"," Ft Smith"," Sebastian",5,35,40,NA,"Manufacturing"
"5:109","2020-11-12","Lockheed Martin"," Camden"," Ouachita",5,15,20,NA,"Manufacturing"
"5:110","2020-11-16","Hytrol Conveyor Company"," Jonesboro"," Craighead",8,75,83,NA,"Manufacturing"
"5:111","2020-11-16","Frito Lay"," Jonesboro"," Craighead",7,69,76,NA,"Manufacturing"
"5:112","2020-11-16","Nabholz"," Conway"," Faulkner",7,4,11,NA,"Construction"
"5:113","2020-11-16","Tyson"," Waldron"," Scott",7,13,20,NA,"Manufacturing"
"5:114","2020-11-16","Simmons Foods"," Siloam Springs"," Benton",6,96,102,NA,"Manufacturing"
"5:115","2020-11-16","Peco"," Pocahontas"," Randolph",6,74,80,NA,"Manufacturing"
"5:116","2020-11-16","Tyson"," Van Buren"," Crawford",5,231,236,NA,"Manufacturing"
"5:117","2020-11-16","Tyson"," Green Forest"," Carroll",5,148,153,NA,"Manufacturing"
"5:118","2020-11-16","Pilgrim's Pride"," De Queen"," Sevier",5,278,283,NA,"Manufacturing"
"5:119","2020-11-16","ABB"," Fort Smith"," Sebastian",5,36,41,NA,"Manufacturing"
"5:120","2020-11-19","Tyson"," Green Forest"," Carroll",8,152,160,NA,"Manufacturing"
"5:121","2020-11-19","Tyson"," Van Buren"," Crawford",7,236,243,NA,"Manufacturing"
"5:122","2020-11-19","Simmons Foods"," Siloam Springs"," Benton",7,97,104,NA,"Manufacturing"
"5:123","2020-11-19","ABB"," Ft Smith"," Sebastian",7,40,47,NA,"Manufacturing"
"5:124","2020-11-19","ConAgra"," Russellville"," Pope",6,205,211,NA,"Manufacturing"
"5:125","2020-11-19","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,80,86,NA,"Manufacturing"
"5:126","2020-11-19","Peco"," Pocahontas"," Randolph",5,75,80,NA,"Manufacturing"
"5:127","2020-11-19","Alma Tractor"," Alma"," Crawford",5,2,7,NA,"Manufacturing"
"5:128","2020-11-23","ConAgra"," Russellville"," Pope",14,207,221,NA,"Manufacturing"
"5:129","2020-11-23","ABB"," Ft Smith"," Sebastian",7,42,49,NA,"Manufacturing"
"5:130","2020-11-23","Rineco Chemical Industries"," Haskell"," Saline",6,5,11,NA,"Manufacturing"
"5:131","2020-11-23","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,83,88,NA,"Manufacturing"
"5:132","2020-11-23","Frito Lay"," Jonesboro"," Craighead",5,76,81,NA,"Manufacturing"
"5:133","2020-11-23","Maynard Inc."," Fayetteville"," Washington",5,3,8,NA,"Manufacturing"
"5:134","2020-11-26","ConAgra"," Russellville"," Pope",14,208,222,NA,"Manufacturing"
"5:135","2020-11-26","Tyson"," Green Forest"," Carroll",10,165,175,NA,"Manufacturing"
"5:136","2020-11-26","Tyson"," Waldron"," Scott",7,20,27,"Plant St.","Manufacturing"
"5:137","2020-11-26","Tyson"," Van Buren"," Crawford",5,248,253,NA,"Manufacturing"
"5:138","2020-11-26","Peco"," Pocahontas"," Randolph",5,81,86,NA,"Manufacturing"
"5:139","2020-11-26","Tyson"," Berryville"," Carroll",5,56,61,NA,"Manufacturing"
"5:140","2020-11-26","Rineco Chemical Industries"," Haskell"," Saline",5,7,12,NA,"Manufacturing"
"5:141","2020-11-30","ConAgra"," Russellville"," Pope",10,219,229,NA,"Manufacturing"
"5:142","2020-11-30","Tyson"," Green Forest"," Carroll",10,183,193,NA,"Manufacturing"
"5:143","2020-11-30","Tyson"," Waldron"," Scott",8,28,36,"Plant St.","Manufacturing"
"5:144","2020-11-30","Tyson"," Berryville"," Carroll",7,57,64,NA,"Manufacturing"
"5:145","2020-11-30","Butterball"," Huntsville"," Madison",5,163,168,NA,"Manufacturing"
